title,mal_id,type,chapters,volumes,status,genres,score,rank,author,serializations
Imamade Ichido mo Onnaatsukai sareta Koto ga Nai Onna Kishi wo Onnaatsukai suru Manga,113626,Manga,134.0,7.0,Finished,"['Comedy', 'Fantasy', 'Romance']",7.13,5990.0,"['Matsumoto, Kengo']",Suiyoubi no Sirius
Inu x Boku SS,17207,Manga,58.0,11.0,Finished,"['Comedy', 'Mystery', 'Supernatural']",7.9,903.0,"['Fujiwara, Cocoa']",Gangan Joker
Kagerou Daze,39625,Manga,70.0,13.0,Finished,"['Comedy', 'Romance', 'Sci-Fi', 'Supernatural']",7.95,779.0,"['Satou, Mahiro', 'Jin']",Comic Gene
Kaichou wa Maid-sama!,2921,Manga,98.0,18.0,Finished,"['Comedy', 'Romance']",8.4,189.0,"['Fujiwara, Hiro']",LaLa
Kamibukuro-kun wa Koishiteru,130740,Manga,17.0,2.0,Finished,"['Comedy', 'Romance']",7.72,1443.0,"['Amaebi, Riko']",Kurofune x LINE Manga
Katekyo Hitman Reborn!,47,Manga,411.0,42.0,Finished,"['Action', 'Comedy']",8.13,480.0,"['Amano, Akira']",Shounen Jump (Weekly)
Kawaii Hito,96046,Manga,36.0,7.0,Finished,['Romance'],7.75,1347.0,"['Saitou, Ken']",LaLa DX
Killing Stalking,121079,Manhwa,67.0,8.0,Finished,"['Boys Love', 'Drama', 'Horror', 'Erotica']",7.53,,['Koogi'],Lezhin Comics Webtoon
Kimi ga Shinu made Ato 100-nichi,117725,Manga,48.0,6.0,Finished,"['Comedy', 'Romance']",7.3,4094.0,['Migihara'],Manga Mee
Kimi no Okaasan wo Boku ni Kudasai!,121740,Manga,33.0,4.0,Finished,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",7.63,1850.0,"['Tazawa, Yutaka']",Manga UP!
Kishuku Gakkou no Juliet,91514,Manga,121.0,16.0,Finished,"['Action', 'Comedy', 'Romance']",8.23,351.0,"['Kaneda, Yousuke']",Shounen Magazine (Weekly)
Koe no Katachi,56805,Manga,64.0,7.0,Finished,"['Award Winning', 'Drama']",8.86,25.0,"['Ooima, Yoshitoki']",Shounen Magazine (Weekly)
Kuchi ga Saketemo Kimi ni wa,126801,Manga,3.0,,Finished,"['Comedy', 'Romance', 'Supernatural']",7.4,3278.0,"['Kajimoto, Akari']",Young Gangan
Kuroha to Nijisuke,102259,Manga,4.0,1.0,Finished,['Action'],7.16,5602.0,"['Narita, Ryohgo', 'Shiraume, Nazuna']",Shounen Sirius
"Kuzumi-kun, Kuuki Yometemasu ka?",96050,Manga,63.0,8.0,Finished,"['Comedy', 'Romance']",7.62,1856.0,['Mosco'],Gangan Joker
Love Hina,16,Manga,120.0,14.0,Finished,"['Award Winning', 'Comedy', 'Romance', 'Ecchi']",7.82,1094.0,"['Akamatsu, Ken']",Shounen Magazine (Weekly)
Maou no Musume wa Yasashisugiru!!,121945,Manga,23.0,3.0,Finished,"['Comedy', 'Fantasy']",7.89,907.0,"['Sakamoto, Yuuya']",Manga Park
Medaka Box,13949,Manga,194.0,22.0,Finished,"['Action', 'Comedy', 'Drama', 'Ecchi']",7.8,1180.0,"['NISIO, ISIN', 'Akatsuki, Akira']",Shounen Jump (Weekly)
Mousou Telepathy,101711,Manga,,7.0,Finished,"['Comedy', 'Romance']",7.5,2571.0,['NOBEL'],twi4
Nanatsu no Taizai,44485,Manga,364.0,41.0,Finished,"['Action', 'Adventure', 'Award Winning', 'Fantasy']",7.56,2216.0,"['Suzuki, Nakaba']",Shounen Magazine (Weekly)
Naraku no Futari,131111,Manga,29.0,3.0,Finished,"['Drama', 'Romance']",7.05,7047.0,"['Goroumaru, Emi']",Comic Days
Nekota no Koto ga Kininatte Shikatanai.,84559,Manga,49.0,10.0,Finished,"['Comedy', 'Romance']",8.08,560.0,"['Oouta, Rie']",Ribon Magazine
Ninja Shinobu-san no Junjou,105071,Manga,30.0,5.0,Finished,"['Comedy', 'Romance']",7.7,1542.0,['Yuzuchiri'],Gessan
Noblesse,29983,Manhwa,,,Finished,"['Action', 'Adventure', 'Comedy', 'Supernatural']",8.17,423.0,"['Son, Jae-Ho', 'Lee, Gwang-Su']",Naver Webtoon
Ojiichan Shinanai,112510,Manga,,2.0,Finished,"['Comedy', 'Fantasy', 'Romance', 'Slice of Life']",6.79,10112.0,"['Madoromi, Tarou']",Kurofune pixiv
Ojojojo,76083,Manga,64.0,4.0,Finished,"['Comedy', 'Romance', 'Slice of Life']",7.49,2597.0,['Cool-kyou Shinja'],Manga Life
Oldman,61173,Manhua,22.0,4.0,Finished,['Fantasy'],6.9,8792.0,"['Chang, Sheng']",Dragon Youth
Ookami wa Nemuranai,121083,Manga,15.0,3.0,Finished,"['Action', 'Adventure', 'Fantasy']",7.48,2643.0,"['Shienbis', 'Shinkawa, Gonbee']",Young Ace UP
Pandora Hearts,3031,Manga,107.0,24.0,Finished,"['Adventure', 'Fantasy', 'Mystery', 'Supernatural']",8.59,79.0,"['Mochizuki, Jun']",GFantasy
Pashiri na Boku to Koisuru Banchou-san,111621,Manga,78.0,7.0,Finished,"['Comedy', 'Romance']",7.21,5040.0,"['Kashima, Ui']",Young Ace UP
Rengoku no Toshi,121919,Manga,47.0,5.0,Finished,"['Drama', 'Suspense']",6.54,12745.0,"['Tawara, Kyouhei']",Shounen Jump+
